	inst	cnt	len
378	日商日本電氣株式會社	6	10
379	日商株式會社亞克	6	8
380	中國青年服務事業文教基金會	6	13
381	香港商微電子國際公司	6	10
382	財團法人台灣省私立鮑朝橒慈善事業基金會	6	19
383	荷蘭商 Unisys Global Holding B. V.	6	31
384	新加坡商 MACNICA ASIA PACIFIC PTE. LTD.	6	35
385	日商速睦喜株式會社	6	9
386	日商株式會社尼康	6	8
387	屏東市農會	6	5
388	美商夏暉控股股份有限公司(Havi Group Holding LLC)	6	36
389	英屬維京群島商HARMONY FORWARD LIMITED	6	30
390	財團法人馬岐山基金會	6	10
391	英商 ISOLA WERKE UK LIMITED	6	25
392	蕯摩亞商SUWALPER. INTERNATIONAL INVESTMENT HOLDING CO., LIMITED	6	59
393	模里西斯商 KoBrite Corp.	6	19
394	英屬開曼群島商 EpiSonica Holdings Ltd.	6	31
395	日商株式會社日立先端科技	6	12
396	日商東レフィルム加工株式会社	6	14
397	公益信託佛乘宗弘法基金	6	11
398	日商 AKIB SYSTEMS, INC.	6	21
399	英屬維京群島商 AsiaPlay  Inc.	6	22
400	LOTUS TRAVEL GROUP LIMITED	6	26
401	韓商凱希環保集團總公司	6	11
402	義大利商 Valentino S.P.A.	6	21
403	臺東市公所	6	5
404	英屬開曼群島商 Appier Holdings, Inc.	6	29
405	日本株式會社資生堂	6	9
406	英屬維京群島商PRIAPUS DEVELOPMENT	6	26
407	台灣嘉南農田水利會	6	9
408	日商日本電產　　株式會社(日商 NIDEC-READ CORPORATION)	6	39
409	英屬開曼群島商 JHL BIOTECH, INC.	6	25
410	英屬維京群島商 CSF HOLDING COMPANY LIMITED	6	35
411	英屬維京群島商 E&E HOLDING COMPANY LIMITED	6	35
412	英屬維京群島商KORNHILL GROUP LIMITED	6	29
413	新加坡商富達亞洲控股有限公司 (FIL Asia Holdings Pte. Limited)	6	47
414	日商HINO ENGINEERING INC.	6	23
415	美商曲克股份有限公司	6	10
416	英屬維京群島商 xPredict Ltd.	6	21
417	英屬維京群島商 DADA Global Inc.	6	24
418	日商田邊三菱製藥株式會社(Mitsubishi Tanabe Pharma Corporation)	6	50
419	日本山崎麵包株式會社	6	10
420	日商Gs Yuasa International Ltd.	6	29
421	香港商PVH Asia Limited	6	19
422	Media Mlife International Co., Ltd	6	34
